Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,10.660000,10.840000,10.440000,10.820000,9.232484,8512700
2017-11-14,10.840000,10.970000,10.740000,10.840000,9.249549,9935600
2017-11-15,10.810000,10.900000,10.780000,10.870000,9.275147,6803000
2017-11-16,10.910000,10.920000,10.730000,10.770000,9.189818,5917000
2017-11-17,10.770000,10.790000,10.600000,10.610000,9.053293,7575000
2017-11-20,10.620000,10.680000,10.510000,10.600000,9.044760,5426600
2017-11-21,10.650000,10.680000,10.580000,10.630000,9.070362,3741100
2017-11-22,10.590000,10.710000,10.580000,10.680000,9.113026,3070200
2017-11-24,10.730000,10.780000,10.680000,10.690000,9.121558,1213200
2017-11-27,10.740000,10.760000,10.610000,10.740000,9.164223,5929400
2017-11-28,10.740000,10.790000,10.560000,10.570000,9.019165,6173100
2017-11-29,10.550000,10.650000,10.510000,10.610000,9.053293,6947500
2017-11-30,10.610000,10.680000,10.500000,10.580000,9.027694,5254600
2017-12-01,10.620000,10.680000,10.540000,10.670000,9.104490,5811000
2017-12-04,10.690000,10.820000,10.620000,10.770000,9.189818,5055100
2017-12-05,10.800000,10.810000,10.680000,10.720000,9.147153,4910800
2017-12-06,10.800000,10.940000,10.730000,10.830000,9.241016,8070200
2017-12-07,10.720000,10.740000,10.590000,10.700000,9.130089,6142800
2017-12-08,10.720000,10.790000,10.670000,10.760000,9.181286,4345400
2017-12-11,10.760000,10.950000,10.740000,10.860000,9.266615,5273600
2017-12-12,10.830000,10.890000,10.710000,10.720000,9.147153,4361000
2017-12-13,10.760000,10.770000,10.540000,10.650000,9.087426,5795700
2017-12-14,10.600000,10.800000,10.500000,10.630000,9.070362,5587900
2017-12-15,10.680000,11.020000,10.680000,10.800000,9.215419,22897000
2017-12-18,10.780000,11.000000,10.730000,10.950000,9.343410,11128400
2017-12-19,10.940000,10.980000,10.620000,10.650000,9.087426,11735400
2017-12-20,10.650000,10.670000,10.430000,10.580000,9.027694,7972600
2017-12-21,10.590000,10.680000,10.460000,10.620000,9.061828,6183900
2017-12-22,10.610000,10.730000,10.580000,10.710000,9.138621,3625400
2017-12-26,10.750000,10.840000,10.620000,10.640000,9.078895,3203900
2017-12-27,10.680000,10.740000,10.610000,10.670000,9.104490,3006200
2017-12-28,10.710000,10.770000,10.610000,10.760000,9.181286,3365800
2017-12-29,10.770000,10.880000,10.740000,10.830000,9.241016,4774300
2018-01-02,10.870000,10.920000,10.780000,10.880000,9.283678,4564500
2018-01-03,10.850000,10.970000,10.790000,10.870000,9.275147,6181200
2018-01-04,10.840000,10.970000,10.830000,10.830000,9.241016,5150000
2018-01-05,10.860000,10.920000,10.780000,10.870000,9.275147,5388200
2018-01-08,10.900000,10.930000,10.830000,10.870000,9.275147,6689100
2018-01-09,10.830000,10.910000,10.750000,10.760000,9.181286,9311600
2018-01-10,10.730000,10.800000,10.640000,10.780000,9.198353,5026200
2018-01-11,10.770000,10.990000,10.750000,10.960000,9.351943,8242700
2018-01-12,10.970000,11.140000,10.900000,11.040000,9.420203,8527400
2018-01-16,11.100000,11.120000,10.670000,10.680000,9.113026,12412800
2018-01-17,10.770000,10.850000,10.700000,10.720000,9.147153,7138300
2018-01-18,11.810000,11.950000,11.360000,11.530000,9.838312,30169700
2018-01-19,11.590000,11.750000,11.490000,11.750000,10.026033,15030300
2018-01-22,11.800000,11.810000,11.280000,11.380000,9.710320,17730200
2018-01-23,11.300000,11.570000,11.280000,11.420000,9.744452,10852600
2018-01-24,11.390000,11.410000,11.060000,11.160000,9.522599,14293200
2018-01-25,11.150000,11.500000,11.140000,11.490000,9.804178,11566600
2018-01-26,11.550000,11.740000,11.490000,11.720000,10.000433,9121100
2018-01-29,11.680000,11.920000,11.610000,11.810000,10.077229,12887400
2018-01-30,11.780000,11.850000,11.570000,11.610000,9.906574,12587800
2018-01-31,11.550000,11.640000,11.510000,11.560000,9.975609,24509200
2018-02-01,11.590000,11.670000,11.460000,11.510000,9.932463,6781000
2018-02-02,11.350000,11.490000,11.110000,11.120000,9.595914,10120000
2018-02-05,11.110000,11.120000,10.540000,10.600000,9.147186,15763900
2018-02-06,10.400000,10.640000,10.150000,10.580000,9.129927,11696000
2018-02-07,10.600000,10.780000,10.470000,10.480000,9.043633,8786300
2018-02-08,10.440000,10.450000,10.050000,10.060000,8.681200,13049500
2018-02-09,10.130000,10.280000,9.870000,10.200000,8.802009,10305200
2018-02-12,10.230000,10.340000,10.030000,10.270000,8.862412,9008800
2018-02-13,10.260000,10.390000,10.160000,10.320000,8.905562,6312200
2018-02-14,10.230000,10.330000,10.140000,10.270000,8.862412,5931500
2018-02-15,10.360000,10.520000,10.320000,10.520000,9.078151,7138200
2018-02-16,10.440000,10.610000,10.430000,10.450000,9.017742,5665600
2018-02-20,10.390000,10.540000,10.360000,10.400000,8.974595,7467400
2018-02-21,10.440000,10.570000,10.230000,10.230000,8.827896,5365600
2018-02-22,10.260000,10.430000,10.250000,10.300000,8.888303,6706800
2018-02-23,10.360000,10.520000,10.330000,10.490000,9.052262,4672300
2018-02-26,10.510000,10.540000,10.350000,10.450000,9.017742,10759900
2018-02-27,10.750000,11.250000,10.570000,11.220000,9.682208,22078300
2018-02-28,11.280000,11.320000,10.860000,10.870000,9.380180,10198400
2018-03-01,10.920000,11.270000,10.890000,10.960000,9.457844,9875400
2018-03-02,10.900000,11.000000,10.700000,10.860000,9.371550,7723600
2018-03-05,10.900000,10.990000,10.800000,10.980000,9.475102,12072500
2018-03-06,11.040000,11.100000,10.830000,10.930000,9.431957,8263100
2018-03-07,10.870000,10.920000,10.710000,10.800000,9.319774,7118300
2018-03-08,10.840000,10.940000,10.830000,10.840000,9.354291,5443800
2018-03-09,10.860000,10.860000,10.650000,10.850000,9.362922,5797300
2018-03-12,10.850000,10.880000,10.620000,10.740000,9.267998,7481000
2018-03-13,10.790000,10.830000,10.620000,10.670000,9.207590,5786400
