,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ABMD
5,ACN
6,ATVI
7,ADM
8,ADBE
9,ADP
10,AAP
11,AES
12,AFL
13,A
14,APD
15,AKAM
16,ALK
17,ALB
18,ARE
19,ALGN
20,ALLE
21,LNT
22,ALL
23,GOOGL
24,GOOG
25,MO
26,AMZN
27,AMCR
28,AMD
29,AEE
30,AAL
31,AEP
32,AXP
33,AIG
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,ADI
42,ANSS
43,AON
44,APA
45,AAPL
46,AMAT
47,APTV
48,ACGL
49,ANET
50,AJG
51,AIZ
52,T
53,ATO
54,ADSK
55,AZO
56,AVB
57,AVY
58,BKR
59,BALL
60,BAC
61,BBWI
62,BAX
63,BDX
64,WRB
65,BRK.B
66,BBY
67,BIO
68,TECH
69,BIIB
70,BLK
71,BK
72,BA
73,BKNG
74,BWA
75,BXP
76,BSX
77,BMY
78,AVGO
79,BR
80,BRO
81,BF.B
82,CHRW
83,CDNS
84,CZR
85,CPT
86,CPB
87,COF
88,CAH
89,KMX
90,CCL
91,CARR
92,CTLT
93,CAT
94,CBOE
95,CBRE
96,CDW
97,CE
98,CNC
99,CNP
100,CDAY
101,CF
102,CRL
103,SCHW
104,CHTR
105,CVX
106,CMG
107,CB
108,CHD
109,CI
110,CINF
111,CTAS
112,CSCO
113,C
114,CFG
115,CLX
116,CME
117,CMS
118,KO
119,CTSH
120,CL
121,CMCSA
122,CMA
123,CAG
124,COP
125,ED
126,STZ
127,CEG
128,COO
129,CPRT
130,GLW
131,CTVA
132,CSGP
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHI
140,DHR
141,DRI
142,DVA
143,DE
144,DAL
145,XRAY
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DISH
152,DIS
153,DG
154,DLTR
155,D
156,DPZ
157,DOV
158,DOW
159,DTE
160,DUK
161,DD
162,DXC
163,EMN
164,ETN
165,EBAY
166,ECL
167,EIX
168,EW
169,EA
170,ELV
171,LLY
172,EMR
173,ENPH
174,ETR
175,EOG
176,EPAM
177,EQT
178,EFX
179,EQIX
180,EQR
181,ESS
182,EL
183,ETSY
184,RE
185,EVRG
186,ES
187,EXC
188,EXPE
189,EXPD
190,EXR
191,XOM
192,FFIV
193,FDS
194,FAST
195,FRT
196,FDX
197,FITB
198,FRC
199,FE
200,FIS
201,FISV
202,FLT
203,FMC
204,F
205,FTNT
206,FTV
207,FBHS
208,FOXA
209,FOX
210,BEN
211,FCX
212,GRMN
213,IT
214,GNRC
215,GD
216,GE
217,GIS
218,GM
219,GPC
220,GILD
221,GL
222,GPN
223,GS
224,HAL
225,HIG
226,HAS
227,HCA
228,PEAK
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HOLX
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUM
242,HBAN
243,HII
244,IBM
245,IEX
246,IDXX
247,ITW
248,ILMN
249,INCY
250,IR
251,INTC
252,ICE
253,IP
254,IPG
255,IFF
256,INTU
257,ISRG
258,IVZ
259,INVH
260,IQV
261,IRM
262,JBHT
263,JKHY
264,J
265,JNJ
266,JCI
267,JPM
268,JNPR
269,K
270,KDP
271,KEY
272,KEYS
273,KMB
274,KIM
275,KMI
276,KLAC
277,KHC
278,KR
279,LHX
280,LH
281,LRCX
282,LW
283,LVS
284,LDOS
285,LEN
286,LNC
287,LIN
288,LYV
289,LKQ
290,LMT
291,L
292,LOW
293,LUMN
294,LYB
295,MTB
296,MRO
297,MPC
298,MKTX
299,MAR
300,MMC
301,MLM
302,MAS
303,MA
304,MTCH
305,MKC
306,MCD
307,MCK
308,MDT
309,MRK
310,META
311,MET
312,MTD
313,MGM
314,MCHP
315,MU
316,MSFT
317,MAA
318,MRNA
319,MHK
320,MOH
321,TAP
322,MDLZ
323,MPWR
324,MNST
325,MCO
326,MS
327,MOS
328,MSI
329,MSCI
330,NDAQ
331,NTAP
332,NFLX
333,NWL
334,NEM
335,NWSA
336,NWS
337,NEE
338,NKE
339,NI
340,NDSN
341,NSC
342,NTRS
343,NOC
344,NLOK
345,NCLH
346,NRG
347,NUE
348,NVDA
349,NVR
350,NXPI
351,ORLY
352,OXY
353,ODFL
354,OMC
355,ON
356,OKE
357,ORCL
358,OGN
359,OTIS
360,PCAR
361,PKG
362,PARA
363,PH
364,PAYX
365,PAYC
366,PYPL
367,PNR
368,PEP
369,PKI
370,PFE
371,PCG
372,PM
373,PSX
374,PNW
375,PXD
376,PNC
377,POOL
378,PPG
379,PPL
380,PFG
381,PG
382,PGR
383,PLD
384,PRU
385,PEG
386,PTC
387,PSA
388,PHM
389,QRVO
390,PWR
391,QCOM
392,DGX
393,RL
394,RJF
395,RTX
396,O
397,REG
398,REGN
399,RF
400,RSG
401,RMD
402,RHI
403,ROK
404,ROL
405,ROP
406,ROST
407,RCL
408,SPGI
409,CRM
410,SBAC
411,SLB
412,STX
413,SEE
414,SRE
415,NOW
416,SHW
417,SBNY
418,SPG
419,SWKS
420,SJM
421,SNA
422,SEDG
423,SO
424,LUV
425,SWK
426,SBUX
427,STT
428,STE
429,SYK
430,SIVB
431,SYF
432,SNPS
433,SYY
434,TMUS
435,TROW
436,TTWO
437,TPR
438,TRGP
439,TGT
440,TEL
441,TDY
442,TFX
443,TER
444,TSLA
445,TXN
446,TXT
447,TMO
448,TJX
449,TSCO
450,TT
451,TDG
452,TRV
453,TRMB
454,TFC
455,TYL
456,TSN
457,USB
458,UDR
459,ULTA
460,UNP
461,UAL
462,UPS
463,URI
464,UNH
465,UHS
466,VLO
467,VTR
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VFC
473,VTRS
474,VICI
475,V
476,VNO
477,VMC
478,WAB
479,WBA
480,WMT
481,WBD
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WRK
490,WY
491,WHR
492,WMB
493,WTW
494,GWW
495,WYNN
496,XEL
497,XYL
498,YUM
499,ZBRA
500,ZBH
501,ZION
502,ZTS
